model_name,battery_kWh,motor_power_kW,range_km,energy_per_km,efficiency_km_per_kWh,power_ratio,driving_style,style_multiplier,initial_soc,trip_distance_km,energy_consumed_kWh,final_soc
Tiago EV – High Range (294 km),24,55,294,0.082,12.25,2.29,City,1,37.03898222,31.08958389,2.537925216,26.46429382
Tiago EV – Medium Range (223 km),19.2,45,223,0.086,11.61,2.34,Eco,0.85,73.04120697,15.03819104,1.100987286,67.30689819
XEV 9e – Medium Range (542 km),59,170,542,0.109,9.18,2.88,Aggressive,1.25,86.94086887,20.9202336,2.848615686,82.11270669
BE6 – Medium Range (557 km),59,170,557,0.106,9.44,2.88,Highway,1.1,56.67265427,17.53216426,2.042942869,53.21003924
Citroen eC3 – Standard Range (320 km),29.2,57,320,0.091,10.96,1.95,Highway,1.1,11.4281128,17.42731225,1.749091557,5.438073222
Tiago EV – Medium Range (223 km),19.2,45,223,0.086,11.61,2.34,Eco,0.85,84.29839136,12.30853341,0.90114155,79.60494578
BYD Sealion 7 – High Range (567 km),82.56,230,567,0.146,6.87,2.79,Aggressive,1.25,66.13980793,16.39211946,2.982554486,62.52721771
Creta Electric – Standard Range (420 km),42,99,420,0.1,10,2.36,Highway,1.1,56.92553922,31.83336055,3.50166966,48.58823051
Curvv EV – Medium Range (430 km),45,110,430,0.105,9.55,2.44,Aggressive,1.25,63.14546417,4.736212277,0.619923073,61.76785734
Curvv EV – High Range (502 km),55,123,502,0.11,9.13,2.24,Aggressive,1.25,77.4982574,34.44137075,4.715412206,68.92478066
Curvv EV – High Range (502 km),55,123,502,0.11,9.13,2.24,City,1,63.7626092,14.43370144,1.580909249,60.88822875
Tigor EV – Standard Range (315 km),26,55,315,0.083,12.11,2.12,City,1,51.02110301,29.44032023,2.431075163,41.67081392
Nexon EV – Medium Range (325 km),30,95,325,0.092,10.83,3.17,Highway,1.1,82.65862811,36.34537057,3.691588886,70.35333182
XUV400 – Standard Range (375 km),34.5,110,375,0.092,10.87,3.19,Eco,0.85,12.93507564,24.74596406,1.935056988,7.326214806
XEV 9e – High Range (659 km),79,210,659,0.12,8.35,2.66,Aggressive,1.25,99.98932689,38.59503616,5.777700024,92.67578255
Citroen eC3 – Standard Range (320 km),29.2,57,320,0.091,10.96,1.95,Aggressive,1.25,80.83806353,18.53348245,2.113763966,73.59914584
Carens EV – Standard Range (404 km),42,99,404,0.104,9.62,2.36,Highway,1.1,65.00190972,18.97360689,2.16953925,59.83634008
BYD Sealion 7 – High Range (567 km),82.56,230,567,0.146,6.87,2.79,Aggressive,1.25,33.90350876,35.48716489,6.456907731,26.08264184
BE6 – High Range (683 km),79,210,683,0.116,8.64,2.66,Aggressive,1.25,92.85515657,8.468359507,1.225167753,91.30431132
XUV 3XO EV – Standard Range (285 km),39.4,150,285,0.138,7.23,3.81,Highway,1.1,29.97754276,32.19601733,4.898425874,17.54498978
Curvv EV – Medium Range (430 km),45,110,430,0.105,9.55,2.44,City,1,24.99254357,17.90781689,1.875164073,20.8255123
XEV 9e – High Range (659 km),79,210,659,0.12,8.35,2.66,Aggressive,1.25,91.43261565,14.69256886,2.199486356,88.6484557
BE6 – Medium Range (557 km),59,170,557,0.106,9.44,2.88,Eco,0.85,44.74857724,15.38561361,1.385357157,42.40051427
Harrier EV – High Range (622 km),75,250,622,0.121,8.29,3.33,Highway,1.1,40.69800949,20.36388129,2.702083163,37.09523194
BYD Sealion 7 – High Range (567 km),82.56,230,567,0.146,6.87,2.79,City,1,37.45427136,24.63196491,3.585438851,33.11144329
BE6 – High Range (683 km),79,210,683,0.116,8.64,2.66,Aggressive,1.25,27.62419727,21.09101947,3.05136277,23.76171275
Punch EV – High Range (421 km),35,90,421,0.083,12.03,2.57,Highway,1.1,19.93939887,20.96464295,1.916966521,14.46235167
Nexon EV – High Range (489 km),45,106,489,0.092,10.87,2.36,Eco,0.85,17.02689724,14.45071701,1.13000087,14.51578419
Curvv EV – Medium Range (430 km),45,110,430,0.105,9.55,2.44,Eco,0.85,20.14429815,7.318807294,0.651412168,18.69671556
Tigor EV – Standard Range (315 km),26,55,315,0.083,12.11,2.12,Aggressive,1.25,93.57435498,36.98536484,3.817647073,78.891097
Nexon EV – High Range (489 km),45,106,489,0.092,10.87,2.36,Eco,0.85,77.13787436,7.723823427,0.603978833,75.79569918
Harrier EV – Medium Range (538 km),65,160,538,0.121,8.28,2.46,City,1,58.03482967,27.8189452,3.35977599,52.86594353
Harrier EV – High Range (622 km),75,250,622,0.121,8.29,3.33,Aggressive,1.25,54.36688905,25.97944958,3.917287331,49.14383927
Punch EV – High Range (421 km),35,90,421,0.083,12.03,2.57,Highway,1.1,37.95186935,22.10024379,2.020803671,32.17814457
Comet EV – Standard Range (230 km),17.3,42,230,0.075,13.29,2.43,Aggressive,1.25,85.95188007,24.3465466,2.289931019,72.71528458
Tigor EV – Standard Range (315 km),26,55,315,0.083,12.11,2.12,Eco,0.85,40.98450098,4.816140712,0.338044559,39.6843296
Curvv EV – Medium Range (430 km),45,110,430,0.105,9.55,2.44,Eco,0.85,28.48088621,35.51730257,3.161225883,21.4559398
Tigor EV – Standard Range (315 km),26,55,315,0.083,12.11,2.12,Eco,0.85,31.40035676,21.65377545,1.519876889,25.55467642
XEV 9e – Medium Range (542 km),59,170,542,0.109,9.18,2.88,Aggressive,1.25,11.67416673,35.11973557,4.782099069,3.56891407
Citroen eC3 – Standard Range (320 km),29.2,57,320,0.091,10.96,1.95,Eco,0.85,97.66069937,8.931640916,0.692691129,95.28846947
XUV 3XO EV – Standard Range (285 km),39.4,150,285,0.138,7.23,3.81,City,1,12.16472738,6.762079545,0.935280712,9.790918469
Nexon EV – Medium Range (325 km),30,95,325,0.092,10.83,3.17,Eco,0.85,89.59576202,5.384662823,0.422618966,88.18703213
Harrier EV – Medium Range (538 km),65,160,538,0.121,8.28,2.46,Aggressive,1.25,34.54704701,14.60592347,2.205000523,31.15473851
Punch EV – Standard Range (315 km),25,60,315,0.079,12.6,2.4,Eco,0.85,50.46263442,36.35200681,2.45231792,40.65336274
XUV 3XO EV – Standard Range (285 km),39.4,150,285,0.138,7.23,3.81,Eco,0.85,41.41915896,24.22223788,2.847704315,34.19148304
Punch EV – High Range (421 km),35,90,421,0.083,12.03,2.57,Eco,0.85,80.78290115,38.34226785,2.709137795,73.04250745
XEV 9e – Medium Range (542 km),59,170,542,0.109,9.18,2.88,Eco,0.85,98.8868145,24.51035789,2.269477583,95.04024233
XUV 3XO EV – Standard Range (285 km),39.4,150,285,0.138,7.23,3.81,Eco,0.85,46.19378347,29.0577549,3.416195252,37.52323714
Tiago EV – High Range (294 km),24,55,294,0.082,12.25,2.29,Highway,1.1,23.6823271,22.5294582,2.023053389,15.25293798
Tiago EV – Medium Range (223 km),19.2,45,223,0.086,11.61,2.34,Eco,0.85,28.03515664,36.21983503,2.651753641,14.22393975
Punch EV – Standard Range (315 km),25,60,315,0.079,12.6,2.4,City,1,62.13751402,36.30234717,2.881138664,50.61295936
XUV 3XO EV – Standard Range (285 km),39.4,150,285,0.138,7.23,3.81,City,1,49.81607119,38.03053909,5.260102225,36.46555793
BE6 – High Range (683 km),79,210,683,0.116,8.64,2.66,Aggressive,1.25,16.61595453,8.212167005,1.188102865,15.11202685
BE6 – Medium Range (557 km),59,170,557,0.106,9.44,2.88,Eco,0.85,14.99094277,11.10356392,0.999791242,13.29638134
Curvv EV – High Range (502 km),55,123,502,0.11,9.13,2.24,Highway,1.1,61.72528619,2.378540627,0.28657116,61.20424772
Creta Electric – Standard Range (420 km),42,99,420,0.1,10,2.36,Aggressive,1.25,22.8137792,17.83903525,2.229879407,17.50454252
XEV 9e – High Range (659 km),79,210,659,0.12,8.35,2.66,Aggressive,1.25,31.31920479,8.9343463,1.337476991,29.62619594
XUV 3XO EV – Standard Range (285 km),39.4,150,285,0.138,7.23,3.81,City,1,33.48125765,13.31526005,1.841668057,28.80697324
Carens EV – Standard Range (404 km),42,99,404,0.104,9.62,2.36,Highway,1.1,81.26345003,5.131213428,0.586729186,79.86647578
Punch EV – High Range (421 km),35,90,421,0.083,12.03,2.57,Eco,0.85,59.05335464,26.30348459,1.858517199,53.7433055
Tiago EV – High Range (294 km),24,55,294,0.082,12.25,2.29,Eco,0.85,44.20764816,4.575887893,0.317510588,42.88468738
XEV 9e – Medium Range (542 km),59,170,542,0.109,9.18,2.88,Eco,0.85,41.57037866,12.23350745,1.132732172,39.65049362
BYD Sealion 7 – High Range (567 km),82.56,230,567,0.146,6.87,2.79,Highway,1.1,19.62150492,11.26621292,1.803905999,17.43654126
XUV 3XO EV – Standard Range (285 km),39.4,150,285,0.138,7.23,3.81,City,1,35.7751262,9.112171805,1.26032805,32.57632404
Tigor EV – Standard Range (315 km),26,55,315,0.083,12.11,2.12,Aggressive,1.25,97.8429884,15.51045467,1.60099656,91.68530933
Comet EV – Standard Range (230 km),17.3,42,230,0.075,13.29,2.43,City,1,11.75020776,6.20002694,0.466518205,9.053570742
XUV400 – Standard Range (375 km),34.5,110,375,0.092,10.87,3.19,City,1,60.58348494,13.02230919,1.198004526,57.11100805
Nexon EV – High Range (489 km),45,106,489,0.092,10.87,2.36,Eco,0.85,99.63802185,13.95585018,1.091303832,97.21290222
Carens EV – Standard Range (404 km),42,99,404,0.104,9.62,2.36,Aggressive,1.25,64.78337651,23.43354508,3.044899308,57.53361626
XUV 3XO EV – Standard Range (285 km),39.4,150,285,0.138,7.23,3.81,Eco,0.85,75.60468085,13.43783389,1.579828327,71.59496428
Nexon EV – High Range (489 km),45,106,489,0.092,10.87,2.36,City,1,70.58826458,28.51469698,2.623247192,64.75882637
Comet EV – Standard Range (230 km),17.3,42,230,0.075,13.29,2.43,Highway,1.1,91.69760938,24.90776175,2.061590514,79.78090121
Harrier EV – High Range (622 km),75,250,622,0.121,8.29,3.33,Eco,0.85,49.41689026,7.8653786,0.806462221,48.3416073
Citroen eC3 – Standard Range (320 km),29.2,57,320,0.091,10.96,1.95,Aggressive,1.25,18.91507327,21.28873835,2.428003917,10.59999136
Comet EV – Standard Range (230 km),17.3,42,230,0.075,13.29,2.43,Aggressive,1.25,94.94646019,11.12962568,1.046804522,88.895567
XEV 9e – High Range (659 km),79,210,659,0.12,8.35,2.66,Highway,1.1,43.00082182,26.74256151,3.522972175,38.54136337
Windsor EV – High Range (449 km),52.9,130,449,0.118,8.49,2.46,Highway,1.1,33.39538123,34.93131519,4.525847669,24.8399036
Nexon EV – High Range (489 km),45,106,489,0.092,10.87,2.36,Eco,0.85,20.64647315,34.52289234,2.699582197,14.6474016
Carens EV – Standard Range (404 km),42,99,404,0.104,9.62,2.36,Highway,1.1,96.36645609,2.194043498,0.250878155,95.76912715
Punch EV – High Range (421 km),35,90,421,0.083,12.03,2.57,Eco,0.85,86.62236646,22.53790118,1.592453533,82.07249922
ZS EV – High Range (461 km),50.3,130,461,0.109,9.16,2.58,City,1,22.73360442,33.66623901,3.675353603,15.42673841
BE6 – Medium Range (557 km),59,170,557,0.106,9.44,2.88,City,1,84.0385763,32.03988116,3.394055208,78.28594036
Curvv EV – High Range (502 km),55,123,502,0.11,9.13,2.24,City,1,75.79462472,39.71653036,4.350112854,67.88532862
Windsor EV – High Range (449 km),52.9,130,449,0.118,8.49,2.46,Aggressive,1.25,29.36877765,27.17684099,4.001301677,21.80488034
Windsor EV – Medium Range (331 km),38,100,331,0.115,8.71,2.63,Highway,1.1,82.17509759,2.971394659,0.375262242,81.18756537
XUV400 – Standard Range (375 km),34.5,110,375,0.092,10.87,3.19,Aggressive,1.25,19.92511449,16.08186713,1.849340746,14.56470653
Citroen eC3 – Standard Range (320 km),29.2,57,320,0.091,10.96,1.95,Highway,1.1,10.29452125,30.07565002,3.018541517,0
Tiago EV – High Range (294 km),24,55,294,0.082,12.25,2.29,Aggressive,1.25,80.28714414,12.41862813,1.267206952,75.00711517
Windsor EV – Medium Range (331 km),38,100,331,0.115,8.71,2.63,Aggressive,1.25,30.0685794,11.7499671,1.686275416,25.63101252
Curvv EV – High Range (502 km),55,123,502,0.11,9.13,2.24,Eco,0.85,22.47057727,6.340374308,0.590286765,21.39732861
Comet EV – Standard Range (230 km),17.3,42,230,0.075,13.29,2.43,Aggressive,1.25,73.79187794,36.48851555,3.431952178,53.95400408
Windsor EV – Medium Range (331 km),38,100,331,0.115,8.71,2.63,City,1,54.99618287,27.99802197,3.214468653,46.53705483
Nexon EV – Medium Range (325 km),30,95,325,0.092,10.83,3.17,Highway,1.1,30.85075907,22.68947384,2.304563364,23.16888119
Curvv EV – High Range (502 km),55,123,502,0.11,9.13,2.24,Eco,0.85,66.67157168,8.284464072,0.771280883,65.2692428
Curvv EV – High Range (502 km),55,123,502,0.11,9.13,2.24,Aggressive,1.25,80.46160982,9.022285808,1.235252712,78.2156958
BYD Sealion 7 – High Range (567 km),82.56,230,567,0.146,6.87,2.79,Aggressive,1.25,31.47801862,10.70156152,1.947154571,29.11954651
BE6 – High Range (683 km),79,210,683,0.116,8.64,2.66,Highway,1.1,37.40800453,22.63765015,2.882108237,33.75976626
XEV 9e – Medium Range (542 km),59,170,542,0.109,9.18,2.88,Aggressive,1.25,49.46169772,18.16201456,2.473041198,45.27010246
Nexon EV – Medium Range (325 km),30,95,325,0.092,10.83,3.17,Eco,0.85,63.6804998,19.02335644,1.493061217,58.70362907
XEV 9e – Medium Range (542 km),59,170,542,0.109,9.18,2.88,Highway,1.1,99.92146691,5.487328743,0.657523052,98.80702106
Windsor EV – Medium Range (331 km),38,100,331,0.115,8.71,2.63,Highway,1.1,95.80301316,39.0921729,4.937013799,82.81087158
BE6 – Medium Range (557 km),59,170,557,0.106,9.44,2.88,Eco,0.85,66.73699446,33.20770444,2.990100506,61.6690275
Curvv EV – High Range (502 km),55,123,502,0.11,9.13,2.24,Aggressive,1.25,97.32900052,16.39868495,2.245164971,93.24688239
Harrier EV – High Range (622 km),75,250,622,0.121,8.29,3.33,Highway,1.1,69.04918907,37.96984749,5.038218606,62.33156426
XUV 3XO EV – Standard Range (285 km),39.4,150,285,0.138,7.23,3.81,City,1,76.29258131,8.23276942,1.138695632,73.40249088
Citroen eC3 – Standard Range (320 km),29.2,57,320,0.091,10.96,1.95,City,1,26.71050023,24.06953437,2.196125399,19.18952284
Nexon EV – High Range (489 km),45,106,489,0.092,10.87,2.36,Aggressive,1.25,12.71085636,26.44090567,3.040582529,5.954006292
Citroen eC3 – Standard Range (320 km),29.2,57,320,0.091,10.96,1.95,Highway,1.1,99.92837643,18.83539706,1.890413939,93.45435609
Tigor EV – Standard Range (315 km),26,55,315,0.083,12.11,2.12,City,1,49.72280756,7.321627599,0.604593526,47.39744784
Punch EV – Standard Range (315 km),25,60,315,0.079,12.6,2.4,Highway,1.1,23.04583342,26.54884934,2.317756688,13.77480667
Nexon EV – Medium Range (325 km),30,95,325,0.092,10.83,3.17,Highway,1.1,60.141774,6.588252237,0.669166894,57.91121768
XUV 3XO EV – Standard Range (285 km),39.4,150,285,0.138,7.23,3.81,Highway,1.1,34.63090301,2.088200767,0.317706894,33.82454033
Tiago EV – Medium Range (223 km),19.2,45,223,0.086,11.61,2.34,City,1,16.44231658,31.99355659,2.755689628,2.089766429
Tiago EV – High Range (294 km),24,55,294,0.082,12.25,2.29,City,1,53.56945926,27.16486489,2.217539991,44.3297093
Curvv EV – High Range (502 km),55,123,502,0.11,9.13,2.24,Eco,0.85,56.0261959,9.314638272,0.867189762,54.44948724
Punch EV – High Range (421 km),35,90,421,0.083,12.03,2.57,Aggressive,1.25,77.86191124,32.93008235,3.421662754,68.08573194
Creta Electric – Standard Range (420 km),42,99,420,0.1,10,2.36,Aggressive,1.25,42.52299755,23.23192735,2.903990919,35.60873346
Comet EV – Standard Range (230 km),17.3,42,230,0.075,13.29,2.43,Eco,0.85,99.04476126,27.62165689,1.766622149,88.83307254
Nexon EV – High Range (489 km),45,106,489,0.092,10.87,2.36,Highway,1.1,16.97543242,39.81043682,4.02865506,8.022865622
BE6 – High Range (683 km),79,210,683,0.116,8.64,2.66,Eco,0.85,28.01711022,24.38828079,2.399310032,24.98000891
Windsor EV – High Range (449 km),52.9,130,449,0.118,8.49,2.46,Eco,0.85,74.36909243,29.0332707,2.906746772,68.87429702
Nexon EV – High Range (489 km),45,106,489,0.092,10.87,2.36,City,1,22.76554403,22.1836324,2.040812548,18.23040504
XUV400 – Standard Range (375 km),34.5,110,375,0.092,10.87,3.19,Highway,1.1,36.3021512,30.24687469,3.060861284,27.43008951
Tiago EV – Medium Range (223 km),19.2,45,223,0.086,11.61,2.34,Eco,0.85,62.75488025,31.98362505,2.341609069,50.55899968
ZS EV – High Range (461 km),50.3,130,461,0.109,9.16,2.58,Eco,0.85,99.66283505,23.51424417,2.18199864,95.32486559
Nexon EV – Medium Range (325 km),30,95,325,0.092,10.83,3.17,Highway,1.1,57.97713455,29.49812672,2.996116288,47.99008026
Punch EV – High Range (421 km),35,90,421,0.083,12.03,2.57,Eco,0.85,71.30355998,21.08405665,1.489729688,67.04718944
BE6 – High Range (683 km),79,210,683,0.116,8.64,2.66,Aggressive,1.25,36.99596833,16.28526616,2.35608596,34.01358104
BE6 – Medium Range (557 km),59,170,557,0.106,9.44,2.88,City,1,26.37626118,22.25298306,2.357307528,22.38082469
XEV 9e – Medium Range (542 km),59,170,542,0.109,9.18,2.88,City,1,84.25918299,21.90777076,2.386467403,80.21432299
BE6 – Medium Range (557 km),59,170,557,0.106,9.44,2.88,Aggressive,1.25,52.21690465,10.49342686,1.389489785,49.86183722
BYD Sealion 7 – High Range (567 km),82.56,230,567,0.146,6.87,2.79,Highway,1.1,29.79898348,37.03293114,5.929581405,22.61683546
ZS EV – High Range (461 km),50.3,130,461,0.109,9.16,2.58,Eco,0.85,80.29130525,4.18984492,0.388795653,79.51835167
Tiago EV – High Range (294 km),24,55,294,0.082,12.25,2.29,Eco,0.85,52.99332966,33.26243225,2.308005503,43.37664006
Punch EV – Standard Range (315 km),25,60,315,0.079,12.6,2.4,Highway,1.1,31.26475634,27.79777391,2.426789786,21.5575972
Comet EV – Standard Range (230 km),17.3,42,230,0.075,13.29,2.43,Aggressive,1.25,52.34209343,13.1365047,1.235562895,45.20011137
ZS EV – High Range (461 km),50.3,130,461,0.109,9.16,2.58,Aggressive,1.25,84.90818328,27.84946367,3.800418077,77.35268014
Harrier EV – Medium Range (538 km),65,160,538,0.121,8.28,2.46,Aggressive,1.25,32.25354947,30.16262023,4.553535663,25.24810999
Carens EV – Standard Range (404 km),42,99,404,0.104,9.62,2.36,City,1,50.00977958,15.2455458,1.584776071,46.23650322
XEV 9e – High Range (659 km),79,210,659,0.12,8.35,2.66,Aggressive,1.25,99.64063988,6.97456041,1.04409587,98.31899954
BE6 – High Range (683 km),79,210,683,0.116,8.64,2.66,Aggressive,1.25,89.41236957,28.91634699,4.183499275,84.11680086
Tigor EV – Standard Range (315 km),26,55,315,0.083,12.11,2.12,Aggressive,1.25,62.18431581,22.0410402,2.275086726,53.43398225
Tigor EV – Standard Range (315 km),26,55,315,0.083,12.11,2.12,Eco,0.85,10.26274094,19.97082852,1.401750969,4.871391058
Curvv EV – High Range (502 km),55,123,502,0.11,9.13,2.24,Eco,0.85,55.78818224,23.02744342,2.143847416,51.89027785
Comet EV – Standard Range (230 km),17.3,42,230,0.075,13.29,2.43,Aggressive,1.25,97.79872984,21.19941786,1.993925682,86.27314786
Punch EV – Standard Range (315 km),25,60,315,0.079,12.6,2.4,Eco,0.85,44.2667401,23.22296351,1.566628491,38.00022614
BE6 – High Range (683 km),79,210,683,0.116,8.64,2.66,Aggressive,1.25,91.72556497,5.934385433,0.858562707,90.63877674
BE6 – High Range (683 km),79,210,683,0.116,8.64,2.66,Highway,1.1,87.46429698,2.533334967,0.322531072,87.0560298
Windsor EV – Medium Range (331 km),38,100,331,0.115,8.71,2.63,Aggressive,1.25,65.0266505,17.31950955,2.485578294,58.48565499
Windsor EV – High Range (449 km),52.9,130,449,0.118,8.49,2.46,Highway,1.1,20.23625159,27.12515111,3.514448318,13.59268199
ZS EV – High Range (461 km),50.3,130,461,0.109,9.16,2.58,Eco,0.85,91.55959649,22.7980058,2.115535473,87.35376056
Nexon EV – Medium Range (325 km),30,95,325,0.092,10.83,3.17,Eco,0.85,41.23785679,10.74918816,0.843657427,38.42566537
Tigor EV – Standard Range (315 km),26,55,315,0.083,12.11,2.12,City,1,71.99736724,15.60105035,1.288278311,67.04245066
Harrier EV – High Range (622 km),75,250,622,0.121,8.29,3.33,Aggressive,1.25,27.52092622,31.02839652,4.678588136,21.28280871
BYD Sealion 7 – High Range (567 km),82.56,230,567,0.146,6.87,2.79,Aggressive,1.25,81.68425477,11.93805998,2.172136096,79.05327597
XUV400 – Standard Range (375 km),34.5,110,375,0.092,10.87,3.19,Highway,1.1,31.08765124,22.12183422,2.238640077,24.59883942
ZS EV – High Range (461 km),50.3,130,461,0.109,9.16,2.58,Eco,0.85,78.93341019,35.92559178,3.333706661,72.30576275
Curvv EV – High Range (502 km),55,123,502,0.11,9.13,2.24,Eco,0.85,99.73792555,20.13750273,1.874794887,96.32920757
Carens EV – Standard Range (404 km),42,99,404,0.104,9.62,2.36,City,1,31.48488369,31.92954963,3.319080003,23.58231225
XUV 3XO EV – Standard Range (285 km),39.4,150,285,0.138,7.23,3.81,City,1,69.63904984,29.33440522,4.057317458,59.3412898
Punch EV – Standard Range (315 km),25,60,315,0.079,12.6,2.4,City,1,88.32837472,5.609928929,0.445232455,86.5474449
Creta Electric – Standard Range (420 km),42,99,420,0.1,10,2.36,Highway,1.1,55.64258899,13.66830169,1.503513186,52.06279569
ZS EV – High Range (461 km),50.3,130,461,0.109,9.16,2.58,Eco,0.85,49.08868919,6.689927805,0.620790244,47.85451375
XEV 9e – High Range (659 km),79,210,659,0.12,8.35,2.66,Aggressive,1.25,69.00998794,28.7994857,4.311300254,63.55264585
XUV400 – Standard Range (375 km),34.5,110,375,0.092,10.87,3.19,Highway,1.1,94.84179804,9.467098027,0.958031999,92.0648937
Comet EV – Standard Range (230 km),17.3,42,230,0.075,13.29,2.43,Highway,1.1,53.96098754,5.248953448,0.434450624,51.44971225
Creta Electric – Standard Range (420 km),42,99,420,0.1,10,2.36,Aggressive,1.25,65.71770425,27.60253426,3.450316782,57.5026643
BYD Sealion 7 – High Range (567 km),82.56,230,567,0.146,6.87,2.79,Eco,0.85,20.74184672,17.10764021,2.11666582,18.17805575
ZS EV – High Range (461 km),50.3,130,461,0.109,9.16,2.58,City,1,70.590164,39.67560579,4.331398012,61.97903475
Punch EV – High Range (421 km),35,90,421,0.083,12.03,2.57,Highway,1.1,58.86074458,20.16171611,1.843548439,53.59346332
BE6 – High Range (683 km),79,210,683,0.116,8.64,2.66,City,1,39.87769252,18.71548884,2.166144542,37.13573741
Windsor EV – High Range (449 km),52.9,130,449,0.118,8.49,2.46,City,1,94.98152205,10.8341474,1.276106879,92.56922171
ZS EV – High Range (461 km),50.3,130,461,0.109,9.16,2.58,Eco,0.85,40.55663185,19.87673474,1.844456826,36.88971967
XEV 9e – High Range (659 km),79,210,659,0.12,8.35,2.66,Aggressive,1.25,79.34157279,5.651177673,0.845984682,78.2707061
Creta Electric – Standard Range (420 km),42,99,420,0.1,10,2.36,Eco,0.85,13.92948238,29.02228617,2.466894324,8.05592446
Curvv EV – High Range (502 km),55,123,502,0.11,9.13,2.24,City,1,98.00671427,5.600500654,0.613417377,96.89140995
Curvv EV – Medium Range (430 km),45,110,430,0.105,9.55,2.44,Eco,0.85,66.51969529,12.3741226,1.101361698,64.07222485
Windsor EV – High Range (449 km),52.9,130,449,0.118,8.49,2.46,Aggressive,1.25,38.76386982,18.60562489,2.739344065,33.58552565
Curvv EV – Medium Range (430 km),45,110,430,0.105,9.55,2.44,City,1,45.70210464,12.13165604,1.270330475,42.87914803
BE6 – High Range (683 km),79,210,683,0.116,8.64,2.66,Aggressive,1.25,81.46806407,6.47796771,0.937205977,80.28172739
ZS EV – High Range (461 km),50.3,130,461,0.109,9.16,2.58,Eco,0.85,15.63745794,38.14417355,3.539579424,8.600520721
XUV 3XO EV – Standard Range (285 km),39.4,150,285,0.138,7.23,3.81,Highway,1.1,66.66590488,2.294508384,0.349095328,65.77987612
Nexon EV – Medium Range (325 km),30,95,325,0.092,10.83,3.17,Aggressive,1.25,24.00539244,13.0309149,1.504029883,18.99195949
BE6 – High Range (683 km),79,210,683,0.116,8.64,2.66,Highway,1.1,48.96426266,19.1901614,2.443191845,45.87161476
Creta Electric – Standard Range (420 km),42,99,420,0.1,10,2.36,Aggressive,1.25,21.74604389,22.30047693,2.787559616,15.10899718
Harrier EV – Medium Range (538 km),65,160,538,0.121,8.28,2.46,City,1,40.13407766,9.903096971,1.196026204,38.29403734
Curvv EV – Medium Range (430 km),45,110,430,0.105,9.55,2.44,Highway,1.1,37.07508288,35.24491934,4.059624217,28.05369573
Nexon EV – High Range (489 km),45,106,489,0.092,10.87,2.36,Eco,0.85,94.93059943,3.606716054,0.282033914,94.3038574
BE6 – Medium Range (557 km),59,170,557,0.106,9.44,2.88,City,1,53.65580452,21.10448169,2.235644247,49.86657698
Tigor EV – Standard Range (315 km),26,55,315,0.083,12.11,2.12,Aggressive,1.25,23.25376573,13.25834425,1.368532644,17.99017864
XUV400 – Standard Range (375 km),34.5,110,375,0.092,10.87,3.19,Eco,0.85,49.62626157,13.57577074,1.061582808,46.54920995
XUV400 – Standard Range (375 km),34.5,110,375,0.092,10.87,3.19,Aggressive,1.25,29.16825069,22.63922553,2.6034068,21.62214403
XEV 9e – Medium Range (542 km),59,170,542,0.109,9.18,2.88,City,1,66.63861626,9.618854053,1.047805452,64.86267482
Curvv EV – High Range (502 km),55,123,502,0.11,9.13,2.24,Aggressive,1.25,82.08650726,21.86600664,2.993702991,76.64341091
XEV 9e – Medium Range (542 km),59,170,542,0.109,9.18,2.88,Eco,0.85,65.41681418,30.9558625,2.866283564,60.55870644
Harrier EV – Medium Range (538 km),65,160,538,0.121,8.28,2.46,Aggressive,1.25,33.63990667,33.61881313,5.075303914,25.83174681
XEV 9e – Medium Range (542 km),59,170,542,0.109,9.18,2.88,Aggressive,1.25,76.83353333,34.55602853,4.705341575,68.85837811
Punch EV – High Range (421 km),35,90,421,0.083,12.03,2.57,City,1,68.80244058,26.86479813,2.233150301,62.42201114
Tiago EV – High Range (294 km),24,55,294,0.082,12.25,2.29,Eco,0.85,66.73136125,14.668859,1.017839196,62.4903646
Tiago EV – High Range (294 km),24,55,294,0.082,12.25,2.29,City,1,95.09027691,22.67977313,1.851410052,87.37606836
Tigor EV – Standard Range (315 km),26,55,315,0.083,12.11,2.12,Eco,0.85,38.39175325,20.42881016,1.433896667,32.87676607
BYD Sealion 7 – High Range (567 km),82.56,230,567,0.146,6.87,2.79,Aggressive,1.25,79.86235315,15.75939996,2.867430851,76.38920532
Nexon EV – Medium Range (325 km),30,95,325,0.092,10.83,3.17,City,1,34.73256365,37.71890511,3.482816723,23.12317457
Tiago EV – Medium Range (223 km),19.2,45,223,0.086,11.61,2.34,Eco,0.85,46.53668966,6.38758914,0.467652952,44.1009972
XEV 9e – High Range (659 km),79,210,659,0.12,8.35,2.66,Aggressive,1.25,58.90622162,37.34829875,5.591062687,51.82892708
XUV 3XO EV – Standard Range (285 km),39.4,150,285,0.138,7.23,3.81,Aggressive,1.25,26.10384864,23.77079559,4.109750276,15.67301038
XEV 9e – Medium Range (542 km),59,170,542,0.109,9.18,2.88,Highway,1.1,71.30147094,27.52436389,3.298126392,65.71142621
Curvv EV – High Range (502 km),55,123,502,0.11,9.13,2.24,City,1,54.13512771,2.764757157,0.302821156,53.58454379
XUV400 – Standard Range (375 km),34.5,110,375,0.092,10.87,3.19,Eco,0.85,65.27151499,2.520110678,0.197064772,64.70031275
